Datum,URL,Umfang,Methode,Partei,Anteil
2014-11-16,EMNID,2313,"",CDU/CSU,41.0
2014-11-19,FORSA,2501,"",CDU/CSU,42.0
2014-11-21,DIMAP,1023,"",CDU/CSU,41.0
2014-11-22,EMNID,2331,"",CDU/CSU,42.0
2014-11-26,FORSA,2501,"",CDU/CSU,42.0
2014-11-30,EMNID,2307,"",CDU/CSU,41.0
2014-12-03,FORSA,2502,"",CDU/CSU,41.0
2014-12-04,DIMAP,1502,"",CDU/CSU,40.0
2014-12-07,EMNID,2789,"",CDU/CSU,41.0
2014-12-10,FORSA,2503,"",CDU/CSU,41.0
2014-12-14,EMNID,2764,"",CDU/CSU,41.0
2014-12-16,FORSA,2504,"",CDU/CSU,43.0
2014-12-19,DIMAP,1006,"",CDU/CSU,42.0
2014-12-20,EMNID,2755,"",CDU/CSU,42.0
2015-01-01,FORSA,2504,"",CDU/CSU,42.0
2015-01-07,FORSA,1002,"",CDU/CSU,42.0
2015-01-08,DIMAP,1506,"",CDU/CSU,41.0
2015-01-10,EMNID,2864,"",CDU/CSU,43.0
2015-01-14,FORSA,2504,"",CDU/CSU,42.0
2015-01-16,DIMAP,1017,"",CDU/CSU,41.0
2015-01-17,EMNID,3243,"",CDU/CSU,42.0
2015-01-21,FORSA,2502,"",CDU/CSU,42.0
2015-01-24,EMNID,1850,"",CDU/CSU,41.0
2015-01-28,FORSA,2015,"",CDU/CSU,42.0
2015-01-31,EMNID,1889,"",CDU/CSU,40.0
2015-02-04,FORSA,2510,"",CDU/CSU,42.0
2015-02-05,DIMAP,1503,"",CDU/CSU,41.0
2015-02-07,EMNID,1859,"",CDU/CSU,40.0
2015-02-11,FORSA,2503,"",CDU/CSU,42.0
2015-02-13,DIMAP,1023,"",CDU/CSU,42.0
2015-02-14,EMNID,1947,"",CDU/CSU,41.0
2015-02-18,FORSA,2502,"",CDU/CSU,43.0
2015-02-21,EMNID,2337,"",CDU/CSU,41.0
2015-02-25,FORSA,2501,"",CDU/CSU,42.0
2015-02-28,EMNID,2307,"",CDU/CSU,41.0
2015-03-04,FORSA,2502,"",CDU/CSU,41.0
2015-03-05,DIMAP,1506,"",CDU/CSU,41.0
2015-03-07,EMNID,2318,"",CDU/CSU,40.0
2015-03-11,FORSA,2504,"",CDU/CSU,41.0
2015-03-13,DIMAP,1000,"",CDU/CSU,41.0
2015-03-14,EMNID,1925,"",CDU/CSU,41.0
2015-03-18,FORSA,2500,"",CDU/CSU,41.0
2015-03-21,EMNID,1006,"",CDU/CSU,41.0
2015-03-25,FORSA,2501,"",CDU/CSU,41.0
2015-03-28,EMNID,1854,"",CDU/CSU,42.0
2015-03-31,FORSA,2505,"",CDU/CSU,42.0
2015-04-02,DIMAP,1501,"",CDU/CSU,41.0
2015-04-04,EMNID,2299,"",CDU/CSU,42.0
2015-04-08,FORSA,2001,"",CDU/CSU,42.0
2015-04-11,EMNID,1404,"",CDU/CSU,41.0
2015-04-15,FORSA,2004,"",CDU/CSU,42.0
2015-04-18,EMNID,2326,"",CDU/CSU,41.0
